what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1350062171477
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1350062195815
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350062208273
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350062325120
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1350062337188
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350062422932
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350063575495
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350063656016
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350063830256
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350063853297
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350063917595
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1350063927264
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1350063941291
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350063960803
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350064028469
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1350064034262
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350064063303
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350064071934
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350064125804
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350064126681
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350064147811
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1350064177658
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350064182818
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350064185106
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1350064200397
