what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238564863
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238565721
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238566719
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238579634
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1350238592176
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238592894
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238593923
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1350238593939
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238595093
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1350238603502
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238610912
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238620816
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238620831
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238620909
opened,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238626634
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238626728
closed,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238628896
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ResourceNavigator",1350238658490
opened,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238660315
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238660409
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238680876
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238681625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350238683263
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238683372
closed,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1350238683372
